﻿Page,Location,Text,Update
index.html,Blog,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
index.html,Blog,Important Notice:,
index.html,Blog,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
index.html,Blog,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
index.html,Banner 2,Advanced Compounding Solutions for Modern Practices,
index.html,FAQs,01. What compounding services do you offer for healthcare providers?,
index.html,FAQs,02. How do you ensure quality and compliance with USP standards?,
index.html,FAQs,03. What is your typical turnaround time for compounded prescriptions?,
index.html,FAQs,04. How can physicians submit prescriptions to your pharmacy?,
index.html,FAQs,05. Do you offer pharmacist consultation for complex formulations?,
index.html,FAQs,06. What states are you licensed to serve?,
index.html,Where Apothecary Section,Where Apothecary Craftsmanship Meets Clinical Science,
index.html,Navigation arrows (on top of everything),Trusted Partnership for Clinical Excellence,
index.html,Section CTA,Partner With Us for Precision Compounding,
index.html,Section Sevices,Custom Compounding Solutions for Your Practice,
index.html,Team,Meet Our Team,
index.html,FAQs,Frequently Asked Questions,
index.html,Section Location,Licensed to Serve Multiple States,
index.html,Blog,Insights on Compounding Excellence,
index.html,Section Sevices,Our Vision,
index.html,Section Sevices,Our Mission,
index.html,Section Sevices,Custom Sterile Compounding,
index.html,Section Sevices,Provider Portal,
index.html,Section Sevices,Custom Concentrations,
index.html,Section Sevices,Secure Shipping,
index.html,Section Location,Utah,
index.html,"<h6 class=""text-white mb-0"">Licensed compounding pharmacy serving healthcare pro",Idaho,
index.html,"<h6 class=""text-white mb-0"">Providing custom sterile and non-sterile compounding",Arizona,
index.html,"<h6 class=""text-white mb-0"">Serving Arizona clinics with precision compounding a",Colorado,
index.html,"<h6 class=""text-white mb-0"">Licensed to provide custom compounded medications to",Wyoming,
index.html,"<h6 class=""text-white mb-0"">Expanding our reach to serve clinics in Wyoming with",Hawaii,
index.html,Blog,Address,
index.html,Blog,Contact Us,
index.html,Navigation arrows (on top of everything),Fast Turnaround Times,
index.html,Navigation arrows (on top of everything),USP 797 & 795 Compliance,
index.html,Navigation arrows (on top of everything),Collaborative Pharmacist Support,
index.html,Navigation arrows (on top of everything),Pharmacist Support,
index.html,Class Cards,Dr. Robert Nathan,
index.html,Class Cards,Angela Clay,
index.html,Class Cards,Kenzo Abigail,
index.html,Class Cards,Clarine Kitty,
index.html,Class Cards,Andrea Cruis,
index.html,Blog,Understanding USP 797 & 795: The Foundation of Quality Compounding,
index.html,Blog,pH-Optimized Formulations: Reducing Injection Site Discomfort,
index.html,Blog,Building Clinical Partnerships: How to Work Effectively with Your Compounding Pharmacy,
index.html,Blog,Blockchain in Healthcare: Ensuring Secure Patient Data & Medication Tracking,
index.html,"<h6 class=""text-white mb-0"">Licensed compounding pharmacy serving healthcare pro",Licensed compounding pharmacy serving healthcare providers across Utah with fast turnaround times.,
index.html,"<h6 class=""text-white mb-0"">Providing custom sterile and non-sterile compounding",Providing custom sterile and non-sterile compounding to Idaho healthcare providers.,
index.html,"<h6 class=""text-white mb-0"">Serving Arizona clinics with precision compounding a",Serving Arizona clinics with precision compounding and collaborative pharmacist support.,
index.html,"<h6 class=""text-white mb-0"">Licensed to provide custom compounded medications to",Licensed to provide custom compounded medications to Colorado healthcare providers.,
index.html,"<h6 class=""text-white mb-0"">Expanding our reach to serve clinics in Wyoming with",Expanding our reach to serve clinics in Wyoming with USP-compliant compounding.,
index.html,"<h6 class=""text-white mb-0"">Expanding our reach to serve clinics in Hawaii with ",Expanding our reach to serve clinics in Hawaii with USP-compliant compounding.,
index.html,Header,Login,
index.html,Header,Get Started,
index.html,Class Cards,Owner,
index.html,Class Cards,Pharmacist,
index.html,Class Cards,Medical Laboratory,
index.html,Class Cards,Cashier,
index.html,Class Cards,Nurse,
index.html,FAQs,View All,
index.html,Blog,Quality Standards,
index.html,Blog,Formulation Science,
index.html,Blog,Clinic Partnership,
index.html,Blog,News,
index.html,Blog,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
index.html,Blog,555-555-5555,
index.html,Blog,dev@mythic-rx.com,
index.html,Blog,Copyright © 2025 Mythic Rx. All Rights Reserved.,
index.html,Header,Homepage,
index.html,Header,Services,
index.html,Header,Service Details,
index.html,Header,About,
index.html,Header,About Us,
index.html,Header,Team,
index.html,Header,FAQs,
index.html,Header,Image Upload,
index.html,Header,For Providers,
index.html,Header,New Providers,
index.html,Navigation arrows (on top of everything),Access Portal,
index.html,Section Sevices,Read More,
index.html,Body,Mythic Rx - Precision Compounding for Progressive Clinics Homepage,
index.html,Header,Services Services,
index.html,Header,About About Us,
index.html,Header,For Providers New Providers,
location.html,Title,Pharmed - Detail Location,
location.html,Section Detail Location,"Our Millcreek location serves Utah and surrounding states with sterile and non-sterile compounding, provider support, and secure shipping. Visit us for consultations, order pickup, or to learn more about our formulations and licensing.",
location.html,Section Location,"With multiple locations, we are dedicated to providing expert care, health consultations, and personalized treatment.",
location.html,Add arrows,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
location.html,Add arrows,Important Notice:,
location.html,Add arrows,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
location.html,Add arrows,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
location.html,Banner,Detail Location,
location.html,Section Detail Location,"Jakarta, IDN",
location.html,Section Location,Our Health Centers Across the Region,
location.html,Add arrows,Address,
location.html,Add arrows,Contact Us,
location.html,Section Location,"Tokyo, JPN",
location.html,Section Location,"London, UK",
location.html,Section Location,"Bali, IDN",
location.html,Section Location,"Consectetur adipiscing elit. Ut elit tellus, luctus nec ullamcorper.",
location.html,Header,Login,
location.html,Header,Get Started,
location.html,Section Detail Location,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
location.html,Section Detail Location,555-555-5555,
location.html,Section Detail Location,dev@mythic-rx.com,
location.html,Section Location,Head Office,
location.html,Section Location,Branch Office,
location.html,Add arrows,Copyright © 2025 Mythic Rx. All Rights Reserved.,
location.html,Header,Homepage,
location.html,Header,Services,
location.html,Header,Service Details,
location.html,Header,About,
location.html,Header,About Us,
location.html,Header,Team,
location.html,Header,FAQs,
location.html,Header,Image Upload,
location.html,Header,For Providers,
location.html,Header,New Providers,
location.html,Header,Provider Portal,
location.html,Body,Pharmed - Detail Location Homepage,
location.html,Header,Services Services,
location.html,Header,About About Us,
location.html,Header,For Providers New Providers,
member.html,Title,Pharmed - Membership,
member.html,Section Membership,"Providing personalized, compassionate healthcare that focuses on improving overall well-being.",
member.html,Section Membership,"incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex.",
member.html,Section Membership,"Read personal stories of satisfaction, improved health, and exceptional care from those who trust us with their wellness.",
member.html,Slides,Mythic Rx is a 503A licensed compounding pharmacy serving healthcare providers with precision sterile and non-sterile formulations. USP 797 & 795 compliant.,
member.html,Slides,Important Notice:,
member.html,Slides,"By submitting a prescription or order request to Mythic Pharmacy, you acknowledge that all compounded medications are prepared pursuant to a valid patient-specific prescription, are not FDA-approved, and must be dispensed and used under the supervision of a licensed prescriber. Mythic Pharmacy does not provide medical diagnosis, treatment decisions, or telehealth services.",
member.html,Slides,"Mythic Pharmacy can only dispense medications in states where we hold an active pharmacy license. Currently licensed in: Utah, Idaho, Arizona, Colorado, Wyoming, and Hawaii. Additional states will be added as licenses are approved.",
member.html,Banner,Membership,
member.html,Section Membership,Opportunities Through Health Care Provider,
member.html,Section Membership,Let’s Hear What They Say About Us,
member.html,Slides,Fill This Form to Became Our Member,
member.html,Section Membership,Free Medication Delivery,
member.html,Section Membership,Get Free Consultations,
member.html,Section Membership,15% Off Three Months,
member.html,Slides,Gracia Agnez,
member.html,Slides,Muguel Adam,
member.html,Slides,Robert Anderson,
member.html,Slides,Address,
member.html,Slides,Contact Us,
member.html,Header,Login,
member.html,Header,Get Started,
member.html,Slides,"""Exceptional service and care! The pharmacists here always go above and beyond to make sure I understand my medications and provide valuable advice. They truly care about my health.""",
member.html,Slides,Designation,
member.html,Slides,"3920 S 1100 E STE 110, MILLCREEK, UT 84124-1213",
member.html,Slides,555-555-5555,
member.html,Slides,dev@mythic-rx.com,
member.html,Slides,Copyright © 2025 Mythic Rx. All Rights Reserved.,
member.html,Header,Homepage,
member.html,Header,Services,
member.html,Header,Service Details,
member.html,Header,About,
member.html,Header,About Us,
member.html,Header,Team,
member.html,Header,FAQs,
member.html,Header,Image Upload,
member.html,Header,For Providers,
member.html,Header,New Providers,
member.html,Header,Provider Portal,
member.html,Body,Pharmed - Membership Homepage,
member.html,Header,Services Services,
member.html,Header,About About Us,
member.html,Header,For Providers New Providers,
provider-portal.html,Title,Mythic Rx - Provider Portal,
provider-portal.html,Body,Sign in to access your account,
provider-portal.html,Body,Provider Portal,
provider-portal.html,Body,← Back to Home,
provider-portal.html,Body,Username,
provider-portal.html,Body,Password,
service_detail.html,Title,Pharmed - Service Details,
service_detail.html,Navigation arrows (on top of everything),"Generic medicine offers an affordable and effective alternative to brand-name drugs, providing the same therapeutic benefits at a lower cost. These medications are bioequivalent to their branded counterparts, meaning they contain the same active ingredients, strength, dosage form, and route of administration, ensuring they work just as well in treating a variety of health conditions",
service_detail.html,Navigation arrows (on top of everything),"At our pharmacy, we prioritize accessibility to quality care, and our generic medicine service ensures that patients have access to affordable treatment options without compromising on quality. Generic medicines undergo rigorous testing to meet the same safety, effectiveness, and quality standards set by regulatory authorities, such as the FDA. By choosing generic medicines, patients can save significantly on prescription costs, which can be particularly helpful for those with long-term health conditions requiring ongoing treatment. Our team is committed to guiding you through your options, helping you make informed choices about your healthcare.",
service_detail.html,Navigation arrows (on top of everything),"We believe that everyone deserves access to high-quality medications, and through our generic medicine service, we aim to make treatment more affordable and accessible for all. Whether you're managing a chronic illness or simply need a short-term prescription, our generic medicine options are here to meet your needs. Reach out today for more information and assistance with your prescriptions!",
service_detail.html,Navigation arrows (on top of everything),"Generic medicine provides a cost-effective alternative to branded drugs, offering the same therapeutic benefits at a fraction of the price. Here’s how our generic medicine service can benefit you:",
service_detail.html,Navigation arrows (on top of everything),"Generic medicines contain the same active ingredients, in the same strength, dosage form, and route of administration as their branded counterparts. This ensures that they work in the same way, providing the same therapeutic effect.",
service_detail.html,Navigation arrows (on top of everything),"One of the biggest advantages of generic medicines is their affordability. By offering generics, we help reduce the financial burden of prescriptions, allowing patients to access effective treatments without the high cost associated with branded drugs.",
